                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                0.94096,                  2.599,                 1.0873,                0.41318,                0.48416,                 0.3759,                0.29076,                0.95545,                 3.3096,                 1.4393,             5.8056e-05,             5.8056e-05,             5.8056e-05
                     34,                0.92739,                 2.5076,                 1.0843,                0.71645,                0.16849,                0.32023,                0.24771,                0.97491,                 3.4646,                 1.4419,             5.6026e-05,             5.6026e-05,             5.6026e-05
                     35,                0.94107,                 2.5336,                 1.0957,                0.66787,                0.20783,                0.34802,                0.27847,                0.99391,                 3.3361,                 1.4484,             5.3997e-05,             5.3997e-05,             5.3997e-05
                     36,                0.93995,                 2.5044,                 1.0882,                0.05903,                0.88519,                0.38435,                0.31309,                0.90101,                 3.2212,                 1.3951,             5.1968e-05,             5.1968e-05,             5.1968e-05
                     37,                0.92599,                 2.4592,                  1.096,                0.06076,                0.88148,                0.35202,                0.26914,                 1.0353,                 3.3843,                 1.5371,             4.9938e-05,             4.9938e-05,             4.9938e-05
                     38,                0.93984,                 2.3962,                 1.0857,                0.69628,                0.18701,                0.35566,                0.28181,                0.98582,                 3.2595,                 1.4935,             4.7908e-05,             4.7908e-05,             4.7908e-05
                     39,                0.91746,                 2.3993,                 1.0878,                0.35906,                0.43792,                0.38136,                 0.3041,                0.94907,                 3.0816,                 1.4577,             4.5879e-05,             4.5879e-05,             4.5879e-05
                     40,                 0.9205,                 2.3591,                 1.0796,                0.76439,                0.14707,                0.37196,                0.29188,                0.99786,                 3.2921,                 1.4887,              4.385e-05,              4.385e-05,              4.385e-05
                     41,                 0.9105,                 2.3208,                 1.0866,                0.74294,                0.25899,                0.40918,                0.32091,                 1.0102,                 3.0496,                 1.5294,              4.182e-05,              4.182e-05,              4.182e-05
                     42,                0.93094,                 2.3102,                 1.0928,                0.75486,                0.28863,                0.44714,                0.35776,                0.92623,                 3.2153,                 1.4341,             3.9791e-05,             3.9791e-05,             3.9791e-05
                     43,                0.90579,                 2.3038,                 1.0776,                0.69312,                0.24742,                 0.3801,                0.30478,                0.89262,                 3.0294,                 1.3967,             3.7761e-05,             3.7761e-05,             3.7761e-05
                     44,                0.88232,                 2.2382,                 1.0694,                0.70873,                0.27887,                0.42253,                0.34577,                0.87697,                 3.1043,                 1.3782,             3.5732e-05,             3.5732e-05,             3.5732e-05
                     45,                0.89556,                 2.2275,                 1.0766,                0.74702,                0.25558,                0.39256,                0.31619,                0.94906,                 3.1876,                 1.4549,             3.3702e-05,             3.3702e-05,             3.3702e-05
                     46,                 0.9008,                 2.2033,                 1.0744,                 0.7571,                0.22702,                0.43623,                0.34393,                0.91793,                 3.1696,                 1.4096,             3.1673e-05,             3.1673e-05,             3.1673e-05
                     47,                0.89581,                 2.1282,                  1.076,                0.76602,                0.29846,                0.41156,                0.32248,                0.96461,                 3.1799,                 1.4582,             2.9643e-05,             2.9643e-05,             2.9643e-05
                     48,                 0.8896,                 2.1659,                  1.068,                0.74123,                0.26683,                0.42606,                0.34356,                0.89318,                 3.2257,                 1.4017,             2.7614e-05,             2.7614e-05,             2.7614e-05
                     49,                0.87797,                 2.1464,                 1.0784,                0.70958,                0.30452,                0.44321,                0.35223,                0.91734,                 3.2027,                 1.4383,             2.5584e-05,             2.5584e-05,             2.5584e-05
                     50,                0.86518,                 2.0943,                 1.0595,                0.74123,                0.21257,                0.42069,                0.32612,                0.93237,                 3.2701,                 1.4494,             2.3555e-05,             2.3555e-05,             2.3555e-05
                     51,                 0.7825,                 1.8679,                 1.0633,                0.66805,                0.34025,                0.44085,                0.34125,                 0.9464,                 3.1317,                 1.4701,             2.1525e-05,             2.1525e-05,             2.1525e-05
                     52,                0.78786,                 1.8252,                 1.0673,                0.69083,                0.33392,                 0.4939,                0.39409,                0.87823,                 3.0811,                 1.3846,             1.9496e-05,             1.9496e-05,             1.9496e-05
                     53,                0.77342,                 1.7799,                 1.0547,                0.66027,                0.29587,                0.47267,                0.37494,                0.88259,                 3.0363,                 1.4023,             1.7466e-05,             1.7466e-05,             1.7466e-05
                     54,                0.77152,                 1.7569,                  1.062,                 0.6873,                0.33457,                0.52039,                0.41343,                0.91309,                 3.0134,                 1.4335,             1.5437e-05,             1.5437e-05,             1.5437e-05
                     55,                0.76014,                 1.7278,                 1.0459,                0.66213,                0.34779,                0.53296,                 0.4305,                0.86993,                 2.9442,                 1.3915,             1.3407e-05,             1.3407e-05,             1.3407e-05
                     56,                0.74961,                 1.7111,                 1.0495,                0.69781,                0.34002,                0.53862,                0.42278,                0.91415,                 3.0257,                 1.4443,             1.1378e-05,             1.1378e-05,             1.1378e-05
                     57,                0.74753,                 1.7035,                 1.0472,                0.69305,                0.33887,                 0.5423,                0.42498,                 0.9098,                 2.9323,                 1.4573,              9.348e-06,              9.348e-06,              9.348e-06
                     58,                0.74984,                 1.6743,                 1.0377,                0.71132,                  0.343,                0.54541,                0.43553,                0.89361,                 2.9398,                 1.4231,             7.3185e-06,             7.3185e-06,             7.3185e-06
                     59,                0.75412,                 1.6612,                 1.0461,                0.69744,                0.35398,                0.54003,                0.42954,                0.89834,                 2.9435,                 1.4267,              5.289e-06,              5.289e-06,              5.289e-06
                     60,                0.74218,                 1.6733,                 1.0435,                0.69243,                0.34976,                0.54268,                0.42771,                0.90411,                 2.9502,                 1.4331,             3.2595e-06,             3.2595e-06,             3.2595e-06
